tensor([49.4019], device='cuda:0')
tensor([73.4894], device='cuda:0')
tensor([85.0327], device='cuda:0')
tensor([91.8594], device='cuda:0')
tensor([95.2301], device='cuda:0')
tensor([97.1588], device='cuda:0')
tensor([97.9919], device='cuda:0')
tensor([98.4955], device='cuda:0')
tensor([98.8403], device='cuda:0')
tensor([99.3530], device='cuda:0')
tensor([99.1486], device='cuda:0')
tensor([99.4736], device='cuda:0')
tensor([99.1653], device='cuda:0')
tensor([99.6918], device='cuda:0')
tensor([99.7299], device='cuda:0')
tensor([99.6887], device='cuda:0')
tensor([99.6979], device='cuda:0')
tensor([99.6979], device='cuda:0')
tensor([99.6689], device='cuda:0')
tensor([99.5148], device='cuda:0')
tensor([97.2157], device='cuda:0')
tensor([97.3213], device='cuda:0')
tensor([97.1426], device='cuda:0')
tensor([96.7701], device='cuda:0')
tensor([96.6059], device='cuda:0')
tensor([96.1160], device='cuda:0')
tensor([96.3080], device='cuda:0')
tensor([96.2831], device='cuda:0')
tensor([96.1810], device='cuda:0')
tensor([96.1272], device='cuda:0')
tensor([96.3067], device='cuda:0')
tensor([95.6115], device='cuda:0')
tensor([96.0125], device='cuda:0')
tensor([95.7315], device='cuda:0')
tensor([95.7699], device='cuda:0')
tensor([95.9941], device='cuda:0')
tensor([95.5224], device='cuda:0')
tensor([95.7047], device='cuda:0')
tensor([95.3824], device='cuda:0')
tensor([94.8614], device='cuda:0')
tensor([94.7282], device='cuda:0')
tensor([96.1311], device='cuda:0')
tensor([95.0242], device='cuda:0')
tensor([94.8332], device='cuda:0')
tensor([94.2765], device='cuda:0')
tensor([94.6365], device='cuda:0')
tensor([94.2945], device='cuda:0')
tensor([93.3958], device='cuda:0')
tensor([92.9143], device='cuda:0')
tensor([96.1118], device='cuda:0')
tensor([94.1945], device='cuda:0')
tensor([92.3977], device='cuda:0')
tensor([93.0175], device='cuda:0')
tensor([93.7872], device='cuda:0')
tensor([93.4972], device='cuda:0')
tensor([92.7070], device='cuda:0')
tensor([93.7257], device='cuda:0')
tensor([91.3211], device='cuda:0')
tensor([93.2170], device='cuda:0')
tensor([92.3068], device='cuda:0')
tensor([93.0086], device='cuda:0')
tensor([93.3187], device='cuda:0')
tensor([93.2414], device='cuda:0')
tensor([94.2518], device='cuda:0')
tensor([90.8199], device='cuda:0')
tensor([94.5773], device='cuda:0')
tensor([91.4135], device='cuda:0')
tensor([92.4290], device='cuda:0')
tensor([91.7619], device='cuda:0')
tensor([93.0655], device='cuda:0')
tensor([91.8673], device='cuda:0')
tensor([91.1501], device='cuda:0')
tensor([90.6230], device='cuda:0')
tensor([92.7970], device='cuda:0')
tensor([91.6345], device='cuda:0')
tensor([93.0017], device='cuda:0')
tensor([94.4351], device='cuda:0')
tensor([93.1910], device='cuda:0')
tensor([88.7060], device='cuda:0')
tensor([91.6146], device='cuda:0')
tensor([91.8786], device='cuda:0')
tensor([91.6179], device='cuda:0')
tensor([92.2549], device='cuda:0')
tensor([91.7393], device='cuda:0')
tensor([86.7890], device='cuda:0')
tensor([89.9116], device='cuda:0')
tensor([91.1802], device='cuda:0')
tensor([79.7198], device='cuda:0')
tensor([85.1201], device='cuda:0')
tensor([88.5340], device='cuda:0')
tensor([91.2843], device='cuda:0')
tensor([89.4456], device='cuda:0')
tensor([87.6488], device='cuda:0')
tensor([88.9468], device='cuda:0')
tensor([79.0046], device='cuda:0')
tensor([89.5391], device='cuda:0')
tensor([91.2580], device='cuda:0')
tensor([88.8877], device='cuda:0')
tensor([88.3985], device='cuda:0')
tensor([91.2512], device='cuda:0')
tensor([73.8494], device='cuda:0')
tensor([87.9619], device='cuda:0')
tensor([91.8683], device='cuda:0')
tensor([91.6311], device='cuda:0')
tensor([91.1799], device='cuda:0')
tensor([89.8520], device='cuda:0')
tensor([90.3982], device='cuda:0')
tensor([93.0900], device='cuda:0')
tensor([90.6650], device='cuda:0')
tensor([92.0683], device='cuda:0')
tensor([91.5257], device='cuda:0')
tensor([81.1541], device='cuda:0')
tensor([55.1312], device='cuda:0')
tensor([90.1193], device='cuda:0')
tensor([91.0852], device='cuda:0')
tensor([92.8919], device='cuda:0')
tensor([90.3521], device='cuda:0')
tensor([94.2908], device='cuda:0')
tensor([92.8360], device='cuda:0')
tensor([93.5199], device='cuda:0')
tensor([91.6414], device='cuda:0')
tensor([92.5237], device='cuda:0')
tensor([90.5611], device='cuda:0')
tensor([82.6472], device='cuda:0')
tensor([93.0082], device='cuda:0')
tensor([93.1870], device='cuda:0')
tensor([91.3380], device='cuda:0')
tensor([91.3190], device='cuda:0')
tensor([90.1951], device='cuda:0')
tensor([92.3263], device='cuda:0')
tensor([93.2609], device='cuda:0')
tensor([93.4461], device='cuda:0')
tensor([93.4746], device='cuda:0')
tensor([89.5381], device='cuda:0')
tensor([93.8805], device='cuda:0')
tensor([90.2371], device='cuda:0')
tensor([93.9294], device='cuda:0')
tensor([92.3376], device='cuda:0')
tensor([93.6789], device='cuda:0')
tensor([88.3032], device='cuda:0')
tensor([93.2013], device='cuda:0')
tensor([93.0958], device='cuda:0')
tensor([94.2161], device='cuda:0')
tensor([93.5780], device='cuda:0')
tensor([93.5834], device='cuda:0')
tensor([85.8364], device='cuda:0')
tensor([93.7904], device='cuda:0')
tensor([93.2252], device='cuda:0')
tensor([94.2052], device='cuda:0')
tensor([93.7321], device='cuda:0')
tensor([94.5239], device='cuda:0')
tensor([93.7305], device='cuda:0')
tensor([92.6342], device='cuda:0')
tensor([95.3098], device='cuda:0')
tensor([93.8351], device='cuda:0')
tensor([94.2300], device='cuda:0')
tensor([94.0620], device='cuda:0')
tensor([93.3162], device='cuda:0')
tensor([93.7188], device='cuda:0')
tensor([93.3705], device='cuda:0')
tensor([87.9262], device='cuda:0')
tensor([91.2659], device='cuda:0')
tensor([92.7447], device='cuda:0')
tensor([88.4678], device='cuda:0')
tensor([93.5907], device='cuda:0')
tensor([92.9799], device='cuda:0')
tensor([95.2014], device='cuda:0')
tensor([91.3478], device='cuda:0')
tensor([91.7503], device='cuda:0')
tensor([92.5467], device='cuda:0')
tensor([91.1544], device='cuda:0')
tensor([92.5159], device='cuda:0')
tensor([94.5540], device='cuda:0')
tensor([94.6804], device='cuda:0')
tensor([94.5768], device='cuda:0')
tensor([88.8217], device='cuda:0')
tensor([94.1715], device='cuda:0')
tensor([94.8263], device='cuda:0')
tensor([94.4035], device='cuda:0')
tensor([87.6880], device='cuda:0')
tensor([84.2673], device='cuda:0')
tensor([93.1172], device='cuda:0')
tensor([90.4352], device='cuda:0')
tensor([79.6943], device='cuda:0')
tensor([87.1551], device='cuda:0')
tensor([93.5065], device='cuda:0')
tensor([93.9263], device='cuda:0')
tensor([90.6921], device='cuda:0')
tensor([95.2827], device='cuda:0')
tensor([93.8414], device='cuda:0')
tensor([95.4281], device='cuda:0')
tensor([95.0328], device='cuda:0')
tensor([92.5827], device='cuda:0')
tensor([92.0376], device='cuda:0')
tensor([92.5348], device='cuda:0')
tensor([90.8645], device='cuda:0')
tensor([89.4737], device='cuda:0')
tensor([95.0025], device='cuda:0')
tensor([80.9676], device='cuda:0')
tensor([93.5400], device='cuda:0')
