tensor([99.9939], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([99.9924], device='cuda:0')
tensor([99.9924], device='cuda:0')
tensor([99.9863], device='cuda:0')
tensor([99.9847], device='cuda:0')
tensor([99.9893], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([99.9908], device='cuda:0')
tensor([99.9878], device='cuda:0')
tensor([99.9939], device='cuda:0')
tensor([99.9924], device='cuda:0')
tensor([99.9832], device='cuda:0')
tensor([99.9863], device='cuda:0')
tensor([99.9847], device='cuda:0')
tensor([99.9817], device='cuda:0')
tensor([99.9878], device='cuda:0')
tensor([99.9863], device='cuda:0')
tensor([99.9832], device='cuda:0')
tensor([99.9741], device='cuda:0')
tensor([99.9863], device='cuda:0')
tensor([99.9817], device='cuda:0')
tensor([99.9786], device='cuda:0')
