tensor([99.9954], device='cuda:0')
tensor([99.9237], device='cuda:0')
tensor([99.9924], device='cuda:0')
tensor([99.9832], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([99.9756], device='cuda:0')
tensor([99.9756], device='cuda:0')
tensor([99.9741], device='cuda:0')
tensor([99.9939], device='cuda:0')
tensor([99.9710], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([99.9756], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([99.9863], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9939], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([99.9756], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([99.9420], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([99.9771], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([99.9939], device='cuda:0')
tensor([99.9817], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([99.9939], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9527], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([99.9893], device='cuda:0')
tensor([99.9710], device='cuda:0')
tensor([99.9695], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9939], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9893], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([99.9985], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9954], device='cuda:0')
tensor([99.9969], device='cuda:0')
tensor([100.], device='cuda:0')
tensor([99.9939], device='cuda:0')
tensor([99.9985], device='cuda:0')
