tensor([87.3901], device='cuda:0')
tensor([93.8573], device='cuda:0')
tensor([93.5888], device='cuda:0')
tensor([92.8760], device='cuda:0')
tensor([91.0455], device='cuda:0')
tensor([93.9713], device='cuda:0')
tensor([75.7744], device='cuda:0')
tensor([91.5514], device='cuda:0')
tensor([84.3950], device='cuda:0')
tensor([94.0363], device='cuda:0')
tensor([85.5902], device='cuda:0')
tensor([91.3158], device='cuda:0')
tensor([94.6324], device='cuda:0')
tensor([89.2656], device='cuda:0')
tensor([87.2651], device='cuda:0')
tensor([93.2293], device='cuda:0')
tensor([93.4097], device='cuda:0')
tensor([91.9830], device='cuda:0')
tensor([89.8807], device='cuda:0')
tensor([88.9576], device='cuda:0')
tensor([93.3255], device='cuda:0')
tensor([90.3081], device='cuda:0')
tensor([94.9451], device='cuda:0')
tensor([92.2549], device='cuda:0')
tensor([91.0551], device='cuda:0')
tensor([87.3514], device='cuda:0')
tensor([83.6806], device='cuda:0')
tensor([87.8783], device='cuda:0')
tensor([91.0062], device='cuda:0')
tensor([85.4859], device='cuda:0')
tensor([84.8464], device='cuda:0')
tensor([89.4773], device='cuda:0')
tensor([88.5759], device='cuda:0')
tensor([94.7102], device='cuda:0')
tensor([92.0029], device='cuda:0')
tensor([89.2975], device='cuda:0')
tensor([89.5307], device='cuda:0')
tensor([89.7845], device='cuda:0')
tensor([89.2064], device='cuda:0')
tensor([92.6209], device='cuda:0')
tensor([95.6194], device='cuda:0')
tensor([71.8850], device='cuda:0')
tensor([94.8533], device='cuda:0')
tensor([94.4820], device='cuda:0')
tensor([91.9356], device='cuda:0')
tensor([93.8105], device='cuda:0')
tensor([94.4071], device='cuda:0')
tensor([95.3882], device='cuda:0')
tensor([86.4698], device='cuda:0')
tensor([90.9062], device='cuda:0')
tensor([92.0318], device='cuda:0')
tensor([92.3411], device='cuda:0')
tensor([92.5478], device='cuda:0')
tensor([96.8527], device='cuda:0')
tensor([92.6519], device='cuda:0')
tensor([90.4369], device='cuda:0')
tensor([92.0467], device='cuda:0')
tensor([86.2550], device='cuda:0')
tensor([85.6811], device='cuda:0')
tensor([87.8209], device='cuda:0')
tensor([85.4590], device='cuda:0')
tensor([88.5420], device='cuda:0')
tensor([86.5839], device='cuda:0')
tensor([91.9470], device='cuda:0')
tensor([94.9162], device='cuda:0')
tensor([87.4449], device='cuda:0')
tensor([90.5504], device='cuda:0')
tensor([95.8284], device='cuda:0')
tensor([73.0598], device='cuda:0')
tensor([75.5707], device='cuda:0')
tensor([92.6726], device='cuda:0')
tensor([94.5458], device='cuda:0')
tensor([92.0822], device='cuda:0')
