tensor([91.4183], device='cuda:0')
tensor([92.1438], device='cuda:0')
tensor([88.9348], device='cuda:0')
tensor([91.3279], device='cuda:0')
tensor([91.2964], device='cuda:0')
tensor([89.6927], device='cuda:0')
tensor([91.7905], device='cuda:0')
tensor([90.0794], device='cuda:0')
tensor([90.9022], device='cuda:0')
tensor([90.3547], device='cuda:0')
tensor([93.9678], device='cuda:0')
tensor([90.8834], device='cuda:0')
tensor([90.7137], device='cuda:0')
tensor([83.1369], device='cuda:0')
tensor([91.6160], device='cuda:0')
tensor([90.9158], device='cuda:0')
tensor([91.3911], device='cuda:0')
tensor([93.5467], device='cuda:0')
tensor([90.3568], device='cuda:0')
tensor([90.0762], device='cuda:0')
tensor([90.7335], device='cuda:0')
tensor([93.5102], device='cuda:0')
tensor([75.8229], device='cuda:0')
tensor([89.5708], device='cuda:0')
tensor([87.7023], device='cuda:0')
tensor([91.4440], device='cuda:0')
tensor([94.4885], device='cuda:0')
tensor([90.9483], device='cuda:0')
tensor([92.7491], device='cuda:0')
tensor([88.0503], device='cuda:0')
tensor([94.6763], device='cuda:0')
tensor([88.6795], device='cuda:0')
tensor([91.6075], device='cuda:0')
tensor([90.5439], device='cuda:0')
tensor([90.9938], device='cuda:0')
tensor([89.2465], device='cuda:0')
tensor([89.1519], device='cuda:0')
tensor([93.7469], device='cuda:0')
tensor([89.3610], device='cuda:0')
tensor([93.2190], device='cuda:0')
tensor([92.5190], device='cuda:0')
tensor([86.3406], device='cuda:0')
tensor([93.7924], device='cuda:0')
tensor([91.8819], device='cuda:0')
tensor([95.3499], device='cuda:0')
tensor([91.3889], device='cuda:0')
tensor([88.5890], device='cuda:0')
tensor([94.8606], device='cuda:0')
tensor([89.9117], device='cuda:0')
tensor([90.5522], device='cuda:0')
tensor([93.4555], device='cuda:0')
tensor([90.7307], device='cuda:0')
tensor([86.6385], device='cuda:0')
tensor([91.2846], device='cuda:0')
tensor([87.7632], device='cuda:0')
tensor([89.7878], device='cuda:0')
tensor([90.4085], device='cuda:0')
tensor([90.3741], device='cuda:0')
tensor([92.4466], device='cuda:0')
tensor([86.4718], device='cuda:0')
tensor([91.5979], device='cuda:0')
tensor([92.1867], device='cuda:0')
tensor([93.6494], device='cuda:0')
tensor([83.4730], device='cuda:0')
tensor([90.8259], device='cuda:0')
tensor([89.6920], device='cuda:0')
tensor([91.1672], device='cuda:0')
tensor([91.6978], device='cuda:0')
tensor([94.4133], device='cuda:0')
tensor([91.9821], device='cuda:0')
tensor([90.9501], device='cuda:0')
tensor([89.9618], device='cuda:0')
tensor([90.4829], device='cuda:0')
