tensor([96.2245], device='cuda:0')
tensor([95.6738], device='cuda:0')
tensor([94.5190], device='cuda:0')
tensor([94.8324], device='cuda:0')
tensor([91.8597], device='cuda:0')
tensor([93.1794], device='cuda:0')
tensor([95.2769], device='cuda:0')
tensor([94.2957], device='cuda:0')
tensor([95.8276], device='cuda:0')
tensor([95.3768], device='cuda:0')
tensor([97.5837], device='cuda:0')
tensor([94.3496], device='cuda:0')
tensor([94.8779], device='cuda:0')
tensor([95.1634], device='cuda:0')
tensor([95.0118], device='cuda:0')
tensor([95.4471], device='cuda:0')
tensor([95.3417], device='cuda:0')
tensor([92.0374], device='cuda:0')
tensor([95.8119], device='cuda:0')
tensor([95.7339], device='cuda:0')
tensor([94.5331], device='cuda:0')
tensor([96.8637], device='cuda:0')
tensor([92.7365], device='cuda:0')
tensor([94.4871], device='cuda:0')
tensor([96.5661], device='cuda:0')
tensor([96.0999], device='cuda:0')
tensor([96.3727], device='cuda:0')
tensor([95.1545], device='cuda:0')
tensor([95.5933], device='cuda:0')
tensor([95.6925], device='cuda:0')
tensor([96.0222], device='cuda:0')
tensor([95.5231], device='cuda:0')
tensor([96.2028], device='cuda:0')
tensor([95.6008], device='cuda:0')
tensor([93.3802], device='cuda:0')
tensor([93.9999], device='cuda:0')
tensor([96.7393], device='cuda:0')
tensor([96.5286], device='cuda:0')
tensor([95.7945], device='cuda:0')
tensor([94.9384], device='cuda:0')
tensor([95.9527], device='cuda:0')
tensor([95.5141], device='cuda:0')
tensor([95.6798], device='cuda:0')
tensor([96.6139], device='cuda:0')
tensor([93.4149], device='cuda:0')
tensor([96.2721], device='cuda:0')
tensor([97.4818], device='cuda:0')
tensor([93.3227], device='cuda:0')
tensor([96.1600], device='cuda:0')
tensor([96.3834], device='cuda:0')
tensor([95.0996], device='cuda:0')
tensor([94.1856], device='cuda:0')
tensor([97.7185], device='cuda:0')
tensor([96.3189], device='cuda:0')
tensor([95.8394], device='cuda:0')
tensor([96.0847], device='cuda:0')
tensor([96.4723], device='cuda:0')
tensor([94.8529], device='cuda:0')
tensor([96.6646], device='cuda:0')
tensor([95.2434], device='cuda:0')
tensor([96.8658], device='cuda:0')
tensor([94.5847], device='cuda:0')
tensor([96.7253], device='cuda:0')
tensor([94.4986], device='cuda:0')
tensor([95.3973], device='cuda:0')
tensor([95.3360], device='cuda:0')
tensor([96.1255], device='cuda:0')
tensor([96.0282], device='cuda:0')
tensor([94.2839], device='cuda:0')
tensor([97.2663], device='cuda:0')
tensor([95.8484], device='cuda:0')
tensor([95.6392], device='cuda:0')
tensor([93.3478], device='cuda:0')
tensor([93.7440], device='cuda:0')
tensor([98.0365], device='cuda:0')
tensor([95.0667], device='cuda:0')
tensor([97.3472], device='cuda:0')
tensor([96.7537], device='cuda:0')
tensor([96.7615], device='cuda:0')
tensor([94.6264], device='cuda:0')
tensor([94.1173], device='cuda:0')
tensor([96.5881], device='cuda:0')
tensor([97.1412], device='cuda:0')
tensor([96.1444], device='cuda:0')
tensor([96.9176], device='cuda:0')
tensor([97.2984], device='cuda:0')
tensor([95.1198], device='cuda:0')
tensor([95.4059], device='cuda:0')
tensor([96.9095], device='cuda:0')
tensor([96.4794], device='cuda:0')
tensor([96.5300], device='cuda:0')
tensor([97.1992], device='cuda:0')
tensor([95.1434], device='cuda:0')
tensor([96.8665], device='cuda:0')
tensor([96.6947], device='cuda:0')
tensor([95.5564], device='cuda:0')
tensor([97.1248], device='cuda:0')
tensor([95.5041], device='cuda:0')
tensor([97.3629], device='cuda:0')
tensor([93.7135], device='cuda:0')
tensor([94.8148], device='cuda:0')
tensor([95.8289], device='cuda:0')
tensor([97.6386], device='cuda:0')
tensor([96.3673], device='cuda:0')
tensor([96.1706], device='cuda:0')
tensor([96.4542], device='cuda:0')
tensor([97.9434], device='cuda:0')
tensor([93.9311], device='cuda:0')
tensor([96.7009], device='cuda:0')
tensor([97.4946], device='cuda:0')
tensor([97.4361], device='cuda:0')
tensor([96.6877], device='cuda:0')
tensor([96.3221], device='cuda:0')
tensor([97.5849], device='cuda:0')
tensor([95.5598], device='cuda:0')
tensor([98.1603], device='cuda:0')
tensor([96.3383], device='cuda:0')
tensor([94.9932], device='cuda:0')
tensor([95.8001], device='cuda:0')
tensor([96.0247], device='cuda:0')
tensor([96.7183], device='cuda:0')
tensor([96.9507], device='cuda:0')
tensor([96.5071], device='cuda:0')
tensor([97.5856], device='cuda:0')
tensor([96.5149], device='cuda:0')
tensor([96.6329], device='cuda:0')
tensor([95.9270], device='cuda:0')
tensor([97.5657], device='cuda:0')
tensor([96.9323], device='cuda:0')
tensor([96.7687], device='cuda:0')
tensor([97.4689], device='cuda:0')
tensor([96.5558], device='cuda:0')
tensor([91.3650], device='cuda:0')
tensor([98.4589], device='cuda:0')
tensor([95.4401], device='cuda:0')
tensor([96.9303], device='cuda:0')
tensor([96.7462], device='cuda:0')
tensor([95.0465], device='cuda:0')
tensor([97.5371], device='cuda:0')
tensor([92.8122], device='cuda:0')
tensor([97.7382], device='cuda:0')
tensor([97.3876], device='cuda:0')
tensor([91.3020], device='cuda:0')
tensor([95.6085], device='cuda:0')
tensor([97.2454], device='cuda:0')
tensor([97.7100], device='cuda:0')
tensor([95.4817], device='cuda:0')
tensor([97.2979], device='cuda:0')
tensor([98.4440], device='cuda:0')
tensor([96.7455], device='cuda:0')
tensor([97.3814], device='cuda:0')
tensor([97.2788], device='cuda:0')
tensor([94.2429], device='cuda:0')
tensor([96.6106], device='cuda:0')
tensor([95.9687], device='cuda:0')
tensor([95.9772], device='cuda:0')
tensor([96.7132], device='cuda:0')
tensor([95.2261], device='cuda:0')
tensor([97.8532], device='cuda:0')
tensor([94.9455], device='cuda:0')
tensor([95.4969], device='cuda:0')
tensor([94.4564], device='cuda:0')
tensor([97.5968], device='cuda:0')
tensor([95.9659], device='cuda:0')
tensor([97.3824], device='cuda:0')
tensor([94.3827], device='cuda:0')
tensor([97.7596], device='cuda:0')
tensor([94.2663], device='cuda:0')
tensor([96.6721], device='cuda:0')
tensor([95.9798], device='cuda:0')
tensor([96.7332], device='cuda:0')
tensor([97.8090], device='cuda:0')
tensor([95.2809], device='cuda:0')
tensor([95.8980], device='cuda:0')
tensor([96.3301], device='cuda:0')
tensor([97.8916], device='cuda:0')
